last_name,count
Baba,226
Coorg,223
Gelosh,223
Sudbeck,222
Farris,222
Adachi,221
Osgood,220
Mandell,218
Neiman,218
Masada,218
Wendorf,217
Boudaillier,217
Mahnke,216
Pettis,216
Cummings,216
Solares,216
Collette,215
Kulisch,215
Emmart,215
Maksimenko,215
Birjandi,215
Boguraev,214
Scallan,214
Rosaz,214
Pokrovskii,214
Wolniewicz,213
Siksek,213
Morrey,213
Stifter,213
Siepmann,212
Swen,212
Taubman,212
Pramanik,212
Rajcani,212
Herber,212
Peek,212
Rabehasaina,212
Garrabrants,212
Kamber,211
Asser,211
Barriga,211
Ghemri,211
Cangellaris,211
Ventosa,211
Gente,211
Kitsuregawa,211
Bolsens,210
Driscoll,210
Luce,210
Schaaf,210
Redmiles,210
Chenney,209
Flowers,209
Lunt,209
Zuberek,209
Lamparter,209
Khasidashvili,209
Gerlach,209
Serra,209
Malabarba,209
Gewali,209
Gecsei,208
Panienski,208
Jenevein,208
Aloia,208
Cesareni,208
Lowrie,208
Garnier,207
Akazan,207
Lamba,207
Angelopoulos,207
Gaughan,206
Hebert,206
Duclos,206
Bondorf,206
Braunmuhl,206
Chimia,206
Foote,206
Perng,206
Lanphier,205
Onuegbe,205
Bennet,205
Geffroy,205
Panangaden,205
Siprelle,205
Emden,205
Ponthieu,205
Aamodt,205
Ecklund,205
Matzov,205
Encarnacion,205
Marakhovsky,205
Garnham,205
Shimshoni,205
DeMori,205
Desikan,204
Luders,204
Coors,204
Linares,204
Shrader,204
Alpin,204
Argence,204
Riexinger,204
Legleitner,204
Malinowski,204
Swick,204
Whitcomb,204
Shiratori,204
Feinberg,203
Tetzlaff,203
Champarnaud,203
Ramsay,203
Doering,203
Kirkerud,203
Herbst,203
Ishibashi,203
Ghandeharizadeh,203
Lorho,203
Conta,203
Penttonen,203
Tramer,203
Yurek,202
Schapire,202
Lubachevsky,202
Pews,202
Schlegelmilch,202
Thummel,202
Karnin,202
Soicher,202
Kilgour,202
Kornyak,202
Gihr,202
Biran,202
Bernardeschi,201
Morrow,201
Erdi,201
Mukaidono,201
Taneja,201
Krybus,201
